timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.000110791,-1.2847,-5.24752,0.144232,-3.67747,-0.084933,0.128855,0.233843
0.001013,-1.29184,-5.24072,0.142205,-3.68525,-0.0804801,0.131888,0.241233
0.00199592,-1.31235,-5.28652,0.163388,-3.74248,-0.0764144,0.204517,0.243317
0.00306225,-1.28709,-5.27139,0.176415,-3.76182,-0.0752319,0.217727,0.243969
0.00401045,-1.28222,-5.27176,0.181432,-3.7554,-0.0744615,0.233765,0.244592
0.00500144,-1.27909,-5.27405,0.196695,-3.77212,-0.0713202,0.256063,0.248818
0.00599607,-1.28811,-5.27252,0.193656,-3.80767,-0.0607401,0.271027,0.246655
0.00698578,-1.27057,-5.2673,0.181041,-3.81505,-0.0617929,0.285623,0.251898
0.0079797,-1.26984,-5.24416,0.181946,-3.82054,-0.0553208,0.302494,0.251774
0.00899592,-1.24355,-5.16888,0.184602,-3.71962,-0.0496973,0.314339,0.25328
0.0100382,-1.25394,-5.18591,0.181636,-3.77319,-0.0520663,0.325339,0.250428
0.0110317,-1.21915,-5.17353,0.176376,-3.75159,-0.0464024,0.312776,0.256228
0.0119714,-1.20152,-5.09146,0.17032,-3.67738,-0.0472775,0.300401,0.252487
0.0129641,-1.18306,-4.99142,0.164724,-3.61219,-0.0467168,0.275648,0.252515
0.013966,-1.17149,-4.86353,0.150298,-3.49899,-0.0420685,0.300992,0.253261
0.0150382,-1.14395,-4.79827,0.131547,-3.46785,-0.0336278,0.286662,0.25906
0.0160398,-1.13116,-4.67703,0.101741,-3.42915,-0.027201,0.286765,0.254935
0.0169797,-1.11177,-4.56436,0.0865256,-3.38289,-0.0217221,0.29783,0.259858
0.0180285,-1.10391,-4.46269,0.0606157,-3.33761,-0.00943284,0.31956,0.257825
0.0190006,-1.08176,-4.41296,0.0725747,-3.32565,-0.00477878,0.313098,0.258143
0.020088,-1.08987,-4.34974,0.04434,-3.24288,-0.00187222,0.33243,0.256304
0.0209907,-1.08066,-4.28908,0.0658707,-3.18531,0.00559475,0.327701,0.259393
0.022001,-1.05959,-4.24538,0.0720206,-3.15768,0.00803258,0.305522,0.259391
0.0229998,-1.055,-4.22174,0.101256,-3.07742,0.0162115,0.282846,0.261423
0.0239695,-1.04786,-4.16737,0.0821876,-3.13332,0.0205726,0.274758,0.261955
0.0249698,-1.04048,-4.17141,0.10784,-3.02499,0.0246601,0.250032,0.264696
0.0259557,-1.00216,-4.21129,0.150524,-2.95219,0.023505,0.235507,0.264381
0.0269923,-1.01022,-4.19776,0.142626,-2.93414,0.0312631,0.23513,0.268071
0.0279589,-1.00842,-4.19518,0.174869,-2.89064,0.0321169,0.233581,0.26366
0.0289962,-1.01405,-4.14725,0.151644,-2.91276,0.0382782,0.23426,0.261155
0.029959,-1.02298,-4.15259,0.156276,-2.85052,0.0464157,0.237006,0.260608
0.0310628,-1.04144,-4.1305,0.185186,-2.79229,0.0513172,0.25059,0.264595
0.0319944,-1.03457,-4.09168,0.189356,-2.75973,0.0594988,0.237058,0.264392
0.0329967,-1.03006,-4.06482,0.20126,-2.68896,0.0657413,0.234146,0.267262
0.0340073,-1.02854,-4.08235,0.222261,-2.66014,0.0689559,0.230436,0.267339
0.034992,-1.00225,-4.0294,0.233558,-2.60922,0.0744111,0.218802,0.266684
0.036068,-0.978056,-3.98393,0.249401,-2.54371,0.0861633,0.206215,0.269811
0.0369604,-0.969955,-3.97135,0.245376,-2.51669,0.0849293,0.201681,0.266584
0.0379594,-0.951765,-3.94327,0.263307,-2.45644,0.0868927,0.196669,0.271514
0.0390289,-0.953012,-3.96262,0.287428,-2.39004,0.0928763,0.207504,0.27262
0.0400537,-0.954046,-3.94136,0.30698,-2.39434,0.103465,0.206751,0.272556
0.0410517,-0.956791,-3.90763,0.354862,-2.34973,0.105335,0.202551,0.271142
0.0419937,-0.972493,-3.87778,0.37409,-2.30059,0.104124,0.198987,0.275038
0.0430583,-0.980195,-3.84485,0.384745,-2.23664,0.107421,0.198781,0.276853
0.0440389,-0.9685,-3.8503,0.396872,-2.20897,0.111379,0.205376,0.277823
0.0450307,-0.955411,-3.7993,0.42988,-2.14954,0.120319,0.202658,0.278149
0.0460527,-0.933547,-3.72216,0.459402,-2.09471,0.123903,0.195329,0.282406
0.0470508,-0.933295,-3.67327,0.464113,-2.00726,0.137026,0.188714,0.28092
0.0480523,-0.935471,-3.62128,0.466948,-1.93462,0.142371,0.190578,0.283414
0.0490539,-0.93897,-3.61862,0.473155,-1.96923,0.146305,0.189427,0.28283
0.0500299,-0.925421,-3.57624,0.489526,-1.88522,0.155169,0.203921,0.280231
0.0510103,-0.916707,-3.53062,0.491068,-1.80642,0.156975,0.220842,0.280426
0.0520705,-0.89668,-3.47021,0.506507,-1.74214,0.164423,0.227641,0.2825
0.0530099,-0.898507,-3.42073,0.534405,-1.6634,0.168802,0.232975,0.28419
0.0540581,-0.900277,-3.40005,0.545092,-1.70516,0.167319,0.231338,0.285135
0.055041,-0.902206,-3.35535,0.557489,-1.62179,0.17112,0.236341,0.284916
0.0560161,-0.873209,-3.30038,0.590323,-1.57226,0.173931,0.252799,0.286791
0.0570242,-0.867699,-3.25523,0.600145,-1.50808,0.184308,0.256101,0.289176
0.0580276,-0.865881,-3.19517,0.614183,-1.44254,0.185674,0.258772,0.290161
0.0590315,-0.871524,-3.16389,0.621718,-1.4389,0.189567,0.272447,0.290597
0.0599977,-0.833978,-3.10621,0.635265,-1.3751,0.193472,0.283509,0.288485
0.0610348,-0.848334,-3.05476,0.633225,-1.30652,0.199447,0.294991,0.291092
0.0619927,-0.828448,-3.00581,0.639795,-1.26046,0.206435,0.302745,0.289431
0.0629912,-0.830972,-2.9489,0.636245,-1.20616,0.214902,0.315616,0.294294
0.0640428,-0.826952,-2.92003,0.649748,-1.18308,0.219783,0.332029,0.2948
0.065059,-0.815833,-2.84653,0.659146,-1.15762,0.22496,0.350364,0.296003
0.06607,-0.804032,-2.77307,0.641385,-1.06855,0.231805,0.348228,0.295049
0.0670586,-0.801436,-2.6991,0.648632,-1.00131,0.23876,0.351773,0.299143
0.0680565,-0.789696,-2.63397,0.650089,-0.92785,0.245449,0.370067,0.299236
0.0690515,-0.789429,-2.59975,0.674652,-0.919786,0.249052,0.391633,0.299527
0.0699862,-0.764859,-2.56296,0.669763,-0.86539,0.248248,0.406046,0.297615
0.0710307,-0.754502,-2.51331,0.654527,-0.791595,0.259799,0.423173,0.29903
0.0720532,-0.746181,-2.47528,0.660719,-0.711882,0.26114,0.440864,0.302719
0.0730208,-0.751104,-2.4164,0.672713,-0.642013,0.2713,0.455789,0.300453
0.0740331,-0.742273,-2.38338,0.69061,-0.648144,0.278673,0.462608,0.301703
0.0750764,-0.741256,-2.37086,0.680359,-0.601914,0.284745,0.467982,0.302444
0.0760689,-0.740931,-2.30896,0.682426,-0.541491,0.292462,0.477284,0.304241
0.0770756,-0.722926,-2.24832,0.683187,-0.480571,0.294307,0.488539,0.305582
0.0780731,-0.718738,-2.19865,0.669871,-0.412677,0.298447,0.500359,0.308266
0.0789606,-0.711357,-2.17303,0.664925,-0.422141,0.301711,0.514044,0.308331
0.0800566,-0.691804,-2.13663,0.637246,-0.34196,0.311971,0.518614,0.309079
0.0810511,-0.676183,-2.07438,0.617423,-0.285946,0.314956,0.523654,0.308463
0.0820512,-0.691005,-2.01857,0.611311,-0.229181,0.321375,0.542676,0.308207
0.0830504,-0.674479,-1.97503,0.593153,-0.171483,0.327588,0.557068,0.311063
0.0840144,-0.678542,-1.97235,0.600286,-0.180605,0.33148,0.565815,0.3117
0.085029,-0.672844,-1.93813,0.60168,-0.129192,0.338295,0.58514,0.310868
0.0860219,-0.650624,-1.88952,0.605683,-0.0720893,0.334805,0.595838,0.315349
0.0870548,-0.673748,-1.84005,0.601196,-0.0271389,0.343762,0.599365,0.312335
0.0880319,-0.647914,-1.7967,0.619942,0.00658798,0.347896,0.600542,0.313011
0.0890124,-0.652528,-1.78146,0.614508,0.0122296,0.354623,0.60784,0.312569
0.0899479,-0.640568,-1.7564,0.583642,0.0355565,0.358808,0.607989,0.313922
0.0910071,-0.649336,-1.69168,0.598292,0.02891,0.368008,0.619505,0.311755
0.0920113,-0.657789,-1.66279,0.584606,0.0679722,0.368167,0.619207,0.315723
0.0929803,-0.664583,-1.60233,0.595955,0.0923122,0.370448,0.61835,0.3178
0.0940037,-0.659983,-1.59207,0.591307,0.140791,0.376488,0.628227,0.31733
0.0949657,-0.640596,-1.55364,0.59159,0.156133,0.383349,0.632309,0.315756
0.0960162,-0.651834,-1.47527,0.573432,0.20279,0.394574,0.614641,0.322054
0.0970062,-0.652159,-1.43903,0.577777,0.241741,0.401435,0.614996,0.318828
0.0980024,-0.655246,-1.38626,0.582249,0.309437,0.406981,0.60521,0.32257
0.0990086,-0.65462,-1.38146,0.587105,0.32937,0.412875,0.608607,0.322283
0.100011,-0.657961,-1.32248,0.581372,0.373186,0.415918,0.607422,0.323938
0.101038,-0.653505,-1.2355,0.590912,0.40826,0.424492,0.604993,0.318757
0.102009,-0.670667,-1.20383,0.597435,0.429913,0.437187,0.601815,0.322303
0.103058,-0.674241,-1.155,0.597939,0.442311,0.447087,0.597018,0.321289
0.104046,-0.673534,-1.14063,0.600018,0.41082,0.453519,0.592341,0.322788
0.104942,-0.678502,-1.08907,0.609068,0.475116,0.454573,0.581854,0.326776
0.106051,-0.689085,-1.05341,0.633679,0.508265,0.459392,0.578826,0.332359
0.107044,-0.695823,-1.01228,0.64041,0.555,0.466196,0.580006,0.329883
0.108042,-0.692936,-0.984164,0.654667,0.609971,0.475283,0.582283,0.33627
0.109043,-0.687178,-0.954817,0.660835,0.565474,0.482523,0.587463,0.337441
0.10998,-0.68755,-0.910912,0.670225,0.607502,0.485556,0.584669,0.337946
