timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.0599248,0.723252,-1.78435,1.07114,-1.03102,-0.136599,0.134202,-0.0201763
0.0609901,0.732561,-1.71005,1.08056,-0.944649,-0.131881,0.150073,-0.0177948
0.0620528,0.715466,-1.61733,1.10941,-0.874991,-0.125395,0.165199,-0.0171246
0.0629535,0.732104,-1.54025,1.13399,-0.80887,-0.111038,0.169516,-0.017618
0.0640176,0.746403,-1.50924,1.1646,-0.718564,-0.0975755,0.178201,-0.0155973
0.0649506,0.759121,-1.4201,1.1777,-0.64598,-0.0840325,0.18563,-0.0106935
0.0660349,0.763534,-1.31583,1.19516,-0.577177,-0.0660398,0.187896,-0.0116837
0.0670311,0.782614,-1.24805,1.20019,-0.502225,-0.0578711,0.198719,-0.00509179
0.0680956,0.796326,-1.15618,1.21995,-0.435896,-0.0498045,0.189133,-0.00455434
0.0690609,0.802398,-1.1155,1.26034,-0.354341,-0.0410274,0.189201,-0.00177752
0.0699587,0.820856,-1.06872,1.26439,-0.276972,-0.0159737,0.191361,0.00288255
0.0710991,0.831826,-0.973961,1.26695,-0.203146,-0.00283101,0.194322,0.00523811
0.0720344,0.841398,-0.963523,1.27348,-0.172597,-0.000689604,0.199099,0.00365929
0.072998,0.858783,-0.852037,1.30886,-0.0503619,0.017753,0.198777,0.00949836
0.0741087,0.861377,-0.798364,1.34299,-0.0150046,0.0262666,0.2002,0.012498
0.0749942,0.885856,-0.766656,1.354,0.0413873,0.0428273,0.198261,0.0142445
0.0760097,0.893003,-0.727494,1.38521,0.10572,0.0477307,0.198419,0.020023
0.0770264,0.90744,-0.658826,1.39697,0.177476,0.0635301,0.191984,0.0216224
0.0779982,0.909256,-0.614849,1.41977,0.234987,0.0706786,0.1955,0.0275772
0.0790004,0.913703,-0.552651,1.43753,0.26167,0.0803732,0.190045,0.0293665
0.0799815,0.935113,-0.527524,1.45106,0.359944,0.0871719,0.190805,0.028579
0.0809495,0.944501,-0.490509,1.45237,0.430676,0.103254,0.184323,0.0308524
0.081981,0.938183,-0.443516,1.46433,0.484147,0.111991,0.1841,0.0360349
0.0830313,0.95888,-0.401295,1.45607,0.577063,0.124995,0.17934,0.0393471
0.0840184,0.963252,-0.360738,1.45913,0.59188,0.13226,0.173515,0.0408009
0.0850368,0.954251,-0.333565,1.45716,0.659022,0.152724,0.17603,0.0418136
0.0860335,0.981233,-0.291587,1.47852,0.726046,0.154498,0.17336,0.0471058
0.0870278,0.988422,-0.251304,1.48934,0.777535,0.174618,0.166738,0.0454796
0.0879696,0.996063,-0.160817,1.45158,0.880596,0.189014,0.120789,0.0413212
0.0889859,1.00483,-0.150632,1.45104,0.90903,0.196636,0.120401,0.0450131
0.0900322,1.02378,-0.108921,1.46708,0.965198,0.207845,0.116835,0.0526151
0.0910792,1.03762,-0.100739,1.46435,1.0155,0.219544,0.120787,0.052409
0.0920313,1.03807,-0.0761749,1.47509,1.07611,0.23238,0.123647,0.053312
0.0930228,1.03727,-0.0961501,1.44795,1.03535,0.229876,0.12367,0.0524702
0.0940543,1.03689,-0.128253,1.42442,1.02333,0.229402,0.122281,0.0513164
0.0950335,1.03959,-0.138716,1.40396,1.00758,0.227065,0.119409,0.0484143
0.0959509,1.05555,0.0153032,1.49637,1.2061,0.270373,0.122726,0.0601423
