timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
9.2543e-05,-1.58141,-5.36758,0.41918,-5.55174,-0.407594,0.780822,0.27565
0.00112079,-1.57887,-5.35117,0.419636,-5.55943,-0.40354,0.799634,0.275008
0.00199151,-1.57642,-5.3481,0.436679,-5.56124,-0.398383,0.814435,0.274816
0.00292616,-1.57057,-5.3427,0.429012,-5.57596,-0.396053,0.82984,0.277867
0.0039703,-1.55926,-5.32983,0.457756,-5.60028,-0.395975,0.848127,0.274717
0.00499348,-1.55673,-5.32275,0.467741,-5.61762,-0.396619,0.858174,0.276462
0.00598141,-1.55436,-5.33358,0.483826,-5.63322,-0.396485,0.870447,0.283847
0.00697327,-1.56734,-5.33139,0.457604,-5.63674,-0.391797,0.886406,0.283031
0.00796311,-1.543,-5.31644,0.469771,-5.63535,-0.390784,0.88143,0.285295
0.00893919,-1.54536,-5.3046,0.458984,-5.62991,-0.38427,0.890998,0.282995
0.00993271,-1.52198,-5.19293,0.472484,-5.57152,-0.378783,0.900997,0.285521
0.010931,-1.50704,-5.19538,0.486772,-5.58577,-0.375675,0.904527,0.288869
0.0119514,-1.48731,-5.16736,0.477242,-5.61425,-0.383263,0.892654,0.288597
0.0129913,-1.477,-5.09505,0.496551,-5.5587,-0.382689,0.879388,0.286815
0.0140716,-1.45254,-5.00616,0.48968,-5.52691,-0.383527,0.866671,0.289645
0.0151034,-1.44886,-4.89241,0.500378,-5.40355,-0.375881,0.886177,0.289777
0.0161035,-1.43438,-4.80207,0.502477,-5.40461,-0.367617,0.869992,0.290297
0.0170087,-1.44655,-4.67947,0.500183,-5.38368,-0.352847,0.845887,0.288896
0.0179322,-1.46114,-4.5935,0.491931,-5.32196,-0.349792,0.845438,0.286562
0.0190055,-1.45662,-4.50572,0.480053,-5.28742,-0.332288,0.833938,0.29339
0.0199997,-1.45488,-4.46035,0.500887,-5.22779,-0.328057,0.826847,0.293181
0.0209851,-1.44377,-4.38377,0.482256,-5.18297,-0.320516,0.814783,0.291078
0.0219109,-1.45329,-4.33119,0.500921,-5.13349,-0.321704,0.785324,0.292529
0.0229916,-1.44497,-4.29336,0.510973,-5.09468,-0.312508,0.741457,0.295923
0.0239883,-1.42214,-4.27915,0.551602,-5.05033,-0.30718,0.703313,0.2948
0.0249567,-1.41784,-4.23655,0.550523,-5.07807,-0.306567,0.689304,0.295883
0.0259781,-1.44643,-4.23831,0.585818,-5.0176,-0.311995,0.665002,0.2968
0.0269601,-1.44243,-4.24042,0.604926,-4.96398,-0.316425,0.638966,0.299853
0.027886,-1.44023,-4.23085,0.639087,-4.93671,-0.32116,0.616756,0.29918
0.028942,-1.42682,-4.22036,0.637316,-4.88696,-0.31571,0.586575,0.300045
0.029971,-1.41814,-4.19256,0.621175,-4.91497,-0.30614,0.559546,0.300893
0.030894,-1.42448,-4.20465,0.652676,-4.85978,-0.304316,0.551443,0.301212
0.0319806,-1.41617,-4.17821,0.673664,-4.75832,-0.296937,0.536229,0.302539
0.0329693,-1.40908,-4.14179,0.672635,-4.72145,-0.285565,0.507532,0.306255
0.033931,-1.38823,-4.10407,0.658552,-4.6512,-0.276857,0.476851,0.304294
0.0350029,-1.39272,-4.1187,0.652809,-4.65806,-0.275028,0.461941,0.304134
0.0359611,-1.37535,-4.05687,0.637406,-4.60369,-0.260578,0.441029,0.30813
