timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.0590019,1.15142,-0.817192,1.09256,-0.63216,0.803712,-0.127061,0.0160489
0.0599859,1.1712,-0.75802,1.1283,-0.547985,0.810873,-0.130187,0.0237305
0.060983,1.18806,-0.726305,1.15489,-0.493934,0.821998,-0.134392,0.0256424
0.0619795,1.1767,-0.622845,1.22594,-0.378148,0.777517,-0.18862,0.0232834
0.0629773,1.19371,-0.521314,1.23695,-0.283167,0.79124,-0.195043,0.0273317
0.064009,1.19118,-0.475733,1.26473,-0.22519,0.806585,-0.204648,0.0303911
0.0650131,1.20124,-0.394087,1.275,-0.162195,0.814441,-0.19937,0.0301415
0.0660691,1.20565,-0.366899,1.30335,-0.100093,0.824649,-0.193907,0.0322233
0.0670226,1.23281,-0.302776,1.33186,-0.0244606,0.838742,-0.196306,0.031958
0.0680796,1.2415,-0.226775,1.35623,0.0429682,0.846731,-0.197866,0.0370176
0.0690991,1.25634,-0.182671,1.3658,0.094471,0.859594,-0.194997,0.0378747
0.0700828,1.28032,-0.127592,1.37646,0.188926,0.866815,-0.198883,0.0429852
0.0710905,1.26896,-0.0945116,1.39746,0.227983,0.875227,-0.200164,0.0450672
0.0719744,1.2824,-0.030456,1.40758,0.254691,0.891585,-0.19624,0.0456554
0.0730953,1.30563,-0.00246087,1.42685,0.317164,0.903826,-0.190728,0.049634
0.0740692,1.33412,0.0402797,1.44168,0.38749,0.91133,-0.192391,0.0552146
0.0750296,1.33098,0.0598108,1.45244,0.431066,0.920334,-0.186064,0.0517685
0.0760041,1.34016,0.111474,1.47994,0.460861,0.929603,-0.18835,0.0520856
0.077046,1.36906,0.132694,1.48805,0.506439,0.945485,-0.192477,0.0536557
0.0780642,1.38062,0.17744,1.50659,0.563628,0.953755,-0.19027,0.0556507
0.0790441,1.35895,0.220626,1.52164,0.631332,0.961614,-0.195503,0.0597426
0.0800576,1.36929,0.271782,1.51815,0.707039,1.03703,-0.221411,0.0750441
