elapsed_time,joint_1 state,joint_2 state,joint_3 state,joint_4 state,joint_5 state,joint_6 state,joint_7 state,joint_1 torque,joint_2 torque,joint_3 torque,joint_4 torque,joint_5 torque,joint_6 torque,joint_7 torque,ee_x,ee_y,ee_z
0.0,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.1808291528871644,-0.8595777241832806,-0.7615891630785676,1.695057438457365,-0.0572771875730363,-0.11207156653392784,0.06698797227820433,0.3067096859094041,0.0019504884038011154,0.4798863122781085
0.001042,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.17762495101523226,-0.8573412477779554,-0.767032193816392,1.6943864519361929,-0.05782306797754379,-0.1118077746763173,0.0671476899702759,0.306709306195793,0.0019482831736024615,0.47988824885469494
0.002011,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.1746187793728045,-0.854851066714202,-0.7723574244960411,1.693075646741638,-0.05835685110333586,-0.11149447587389924,0.06723211922024268,0.3067093960364426,0.001950685494543087,0.4798850150922174
0.003075,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.17145736621613245,-0.8524016276560674,-0.7779546182070363,1.6908896637970356,-0.05888925255727822,-0.11119003071886446,0.06720696519309838,0.3067094160477706,0.0019521065491526022,0.47987818851552694
0.004051,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.1683420047404361,-0.8527816780364406,-0.7834954837734966,1.6901968602161053,-0.059356457108096145,-0.11070423559157105,0.06708870251024704,0.3067083485992271,0.0019511096358224196,0.47987622426436555
0.005056,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.16653468419663042,-0.8561997415601734,-0.7874251015223923,1.6913434777419256,-0.05964902636731854,-0.11002230226312794,0.0668922835408668,0.3067077237261357,0.001951426586111602,0.47987352255325233
0.006081,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.16630928673200798,-0.8642791860356704,-0.7893138898873823,1.6953648339514982,-0.05974531344858637,-0.10903543378936734,0.06662732664277546,0.30670704382839953,0.0019500716778934669,0.4798689922579004
0.007036,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.1668435399953402,-0.877447994591285,-0.7899615493341601,1.7012695953447527,-0.05973693969055424,-0.1078734012460615,0.06632216030545057,0.30670624882536207,0.0019521927246421056,0.47986437622501477
0.008074,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.166927075537811,-0.8934623802026118,-0.7912294318168327,1.706049643075052,-0.05976994769211251,-0.10685998567909764,0.06601856947120746,0.3067053295408973,0.0019536778283728807,0.4798589086972819
0.009057,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.1658201261766299,-0.9097873715955043,-0.7946796467802015,1.7083316746079498,-0.059911766065646015,-0.10600637891808956,0.06579418342183183,0.3067014181497638,0.0019541602049863716,0.4798520015167579
0.010071,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.1637767900677528,-0.9218676831381256,-0.8001442288931394,1.7098404482892748,-0.06000888742314855,-0.10467947177534694,0.0657693183250772,0.3066975579491576,0.001953571939091856,0.4798462030257507
0.011039,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.16101981032628412,-0.9271950339401642,-0.8071008030878849,1.7125620676238327,-0.05993689034946242,-0.10230265190669006,0.0660264603800005,0.3066963199810244,0.001956567814916965,0.4798360584816027
0.012058,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.15742422722965757,-0.9301913554578936,-0.815453635405049,1.7145062196419143,-0.05982348322630129,-0.09932401135236398,0.06656305140873364,0.30668947619755454,0.0019552180455969697,0.4798220355322297
0.013044,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.15348955129476177,-0.9328044797842889,-0.824711596321953,1.713974060267552,-0.05969483253281023,-0.0961085521325971,0.06733812085458626,0.3066789478433231,0.0019559570669027003,0.4798093032424493
0.014034,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.14944260228734307,-0.9264653624719614,-0.8347236029892823,1.709445513421194,-0.05949813993489674,-0.0925780492434103,0.06830043752162113,0.3066658774555068,0.001956335167280146,0.4797959092477183
0.015035,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.1445236281401096,-0.8991465681173778,-0.8464005022111505,1.6986139013491466,-0.05925892472113252,-0.08861847152687218,0.06939297894237853,0.3066577221862882,0.001956745540934905,0.47978893756951385
0.016091,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.13799932271553017,-0.8459070379679505,-0.8609094473773234,1.6808265545776337,-0.05898775498636888,-0.08417076374990695,0.07057333346675937,0.30664624162694654,0.001955896421513353,0.4797772564509228
0.017095,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.12940643088742518,-0.767251929926818,-0.879307631710252,1.6525548361090985,-0.058804796802946736,-0.08000065769240386,0.0718251768860382,0.3066257713754796,0.0019589150507854504,0.47977361579870625
0.018076,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.11833301614441642,-0.6614117692985595,-0.902362643109763,1.6081158012596277,-0.05890071017845696,-0.07710085564278615,0.07314777597794433,0.3066024886952832,0.0019615704984723217,0.47975856583204024
0.019062,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.10460722250974162,-0.5288376054317785,-0.9301714804065568,1.545823341390969,-0.059355634143200574,-0.07575705206151907,0.07455200027112384,0.3065747932383687,0.0019664673223608103,0.4797459185379787
0.020061,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.08899121639408691,-0.3780064301967971,-0.9612524381452658,1.4681430459042197,-0.0601067421316455,-0.07590258140848498,0.07606259494095903,0.3065670355985825,0.001967001052805747,0.47974167515630334
0.021044,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.07220429192592459,-0.22323008365581484,-0.9939316379142368,1.3815400767101857,-0.06106656833869352,-0.07711225283313912,0.07769594175219867,0.30654048045550986,0.001973418874907362,0.47971596619386825
0.022042,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.05410124536409157,-0.07859893082970883,-1.0274451857979583,1.2951587670856157,-0.06216337297815639,-0.07849328952273563,0.07944203499036367,0.306512762025008,0.0019758876040001827,0.47970271916797774
0.023046,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.03601999342947116,0.04724305902157439,-1.0588941632140483,1.2139263153006057,-0.06323377864728699,-0.07963406754227016,0.08126060808599028,0.3064916144812147,0.0019776143618351573,0.47968973751782473
0.024074,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.020198524270194786,0.14712440973180876,-1.0843752025606224,1.1406410651523076,-0.06407372678669097,-0.08050940782315877,0.08311097328288873,0.3064681385886121,0.0019790323759386083,0.4796648628159962
0.025052,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,0.006884031946465675,0.219293189401213,-1.1031802161313307,1.0749298956814153,-0.06469292554461906,-0.08134824505355848,0.08496261701366467,0.3064609301432275,0.001980829550944457,0.4796629206777784
0.02604,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,-0.004908952851762818,0.26579396557203855,-1.1167477466057683,1.0147188539121832,-0.0652318300439576,-0.08248007861114152,0.08679810272846257,0.3064411558441368,0.0019803388059449418,0.47962417345875114
0.027047,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,-0.013819920756982927,0.27401373641314175,-1.122935138348678,0.9699794964043035,-0.06545202803027447,-0.08312126850238874,0.08865707837460286,0.3064219700797793,0.001977653076495174,0.4795901869011915
0.028044,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,-0.018207671783584525,0.2313800573031332,-1.1192595502064726,0.9500551642861554,-0.06511429205203809,-0.08259596443752848,0.09059631383922342,0.3064041016476768,0.00198059588656015,0.4795632161650782
0.029053,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,-0.019519791083876484,0.1431979966639284,-1.1077455145321706,0.9515268480702559,-0.06444095483731402,-0.08127617376597844,0.09264327638826361,0.3063843155869231,0.001979472547854941,0.47952653667722844
0.030046,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,-0.020155473743324482,0.024380677189481278,-1.0918132129281626,0.965709926728585,-0.06379949901363813,-0.07981780795244613,0.0948076077794407,0.3063775739484461,0.001980703009417175,0.4795182067570937
0.031046,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,-0.02262169157157274,-0.11126267021303438,-1.075539413248792,0.9853868150278466,-0.0635114467628051,-0.07865572123534981,0.09708715252205054,0.3063589563899694,0.001982050302046644,0.47946915920341315
0.032047,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,-0.028141008238097655,-0.26102602183287854,-1.0604710585100545,1.0117425175186983,-0.06361784246299566,-0.07734677175486587,0.09947537228023884,0.3063399422991415,0.0019841921300272187,0.47943630192750697
0.033047,0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0,-0.03599347150602481,-0.42295950558888923,-1.0450258608949425,1.0462278395614126,-0.0639642758575753,-0.07539969259894415,0.10193786225865129,0.30631979919284774,0.001984849535147626,0.4793903226973841
