x,y,z,g
0.33004191,0.01010301,0.38175016,1
0.33000512,0.01004335,0.38113611,1
0.32999181,0.01000862,0.38052205,1
0.33000337,0.01000055,0.37990799,1
0.33004047,0.01001998,0.37929394,1
0.33010176,0.01006553,0.37867988,1
0.3301856,0.01013547,0.37806582,1
0.33029033,0.01022808,0.37745177,1
0.3304143,0.01034161,0.37683772,1
0.33055586,0.01047434,0.37622366,1
0.33071335,0.01062455,0.37560961,1
0.33088513,0.0107905,0.37499555,1
0.33106955,0.01097046,0.3743815,1
0.33126495,0.0111627,0.37376744,1
0.33146968,0.01136549,0.37315339,1
0.33168209,0.0115771,0.37253933,1
0.33190053,0.0117958,0.37192528,1
0.33212335,0.01201987,0.37131122,1
0.33234889,0.01224757,0.37069716,1
0.33257551,0.01247717,0.37008311,1
0.33280154,0.01270694,0.36946905,1
0.33302536,0.01293515,0.36885499,1
0.33324529,0.01316007,0.36824093,1
0.33345969,0.01337998,0.36762687,1
0.3336669,0.01359314,0.36701281,1
0.33386528,0.01379781,0.36639874,1
0.33405318,0.01399229,0.36578468,1
0.33422894,0.01417482,0.36517061,1
0.33439091,0.01434368,0.36455655,1
0.33453744,0.01449715,0.36394248,1
0.33466688,0.01463349,0.36332841,1
0.33477757,0.01475097,0.36271434,1
0.33486787,0.01484786,0.36210026,1
0.33493613,0.01492243,0.36148619,1
0.33498068,0.01497296,0.36087211,1
0.33499989,0.01499771,0.36025803,1
0.33499221,0.01499506,0.35964395,1
0.33495786,0.01496523,0.35902987,1
0.33489853,0.0149099,0.35841579,1
0.33481593,0.01483082,0.3578017,1
0.33471177,0.01472971,0.35718762,1
0.33458776,0.0146083,0.35657353,1
0.33444562,0.01446835,0.35595944,1
0.33428706,0.01431157,0.35534535,1
0.3341138,0.01413971,0.35473127,1
0.33392755,0.0139545,0.35411718,1
0.33373002,0.01375768,0.35350309,1
0.33352292,0.01355097,0.35288901,1
0.33330798,0.01333611,0.35227493,1
0.3330869,0.01311485,0.35166084,1
0.3328614,0.01288891,0.35104676,1
0.3326332,0.01266003,0.35043269,1
0.33240399,0.01242994,0.34981861,1
0.33217551,0.01220038,0.34920454,1
0.33194946,0.01197308,0.34859047,1
0.33172756,0.01174978,0.3479764,1
0.33151152,0.01153221,0.34736234,1
0.33130306,0.01132211,0.34674829,1
0.33110388,0.01112121,0.34613423,1
0.33091571,0.01093125,0.34552018,1
0.33074025,0.01075396,0.34490614,1
0.33057922,0.01059108,0.3442921,1
0.33043434,0.01044433,0.34367807,1
0.33030731,0.01031547,0.34306404,1
0.33019985,0.01020621,0.34245002,1
0.33011368,0.01011831,0.341836,1
0.33005051,0.01005348,0.341222,1
0.33001205,0.01001346,0.34060799,1
0.33000002,0.01,0.339994,1
0.33001553,0.01001423,0.33938001,1
0.33005742,0.01005497,0.33876603,1
0.33012396,0.01012049,0.33815206,1
0.33021341,0.01020906,0.33753809,1
0.33032405,0.01031893,0.33692412,1
0.33045414,0.01044837,0.33631015,1
0.33060195,0.01059565,0.33569619,1
0.33076576,0.01075902,0.33508223,1
0.33094383,0.01093676,0.33446826,1
0.33113443,0.01112712,0.33385429,1
0.33133584,0.01132837,0.33324032,1
0.33154631,0.01153878,0.33262634,1
0.33176413,0.0117566,0.33201236,1
0.33198756,0.01198011,0.33139837,1
0.33221486,0.01220756,0.33078438,1
0.33244432,0.01243722,0.33017037,1
0.33267419,0.01266736,0.32955636,1
0.33290275,0.01289623,0.32894233,1
0.33312827,0.0131221,0.32832829,1
0.33334902,0.01334324,0.32771424,1
0.33356327,0.01355791,0.32710017,1
0.33376928,0.01376437,0.32648609,1
0.33396532,0.01396089,0.32587199,1
0.33414968,0.01414572,0.32525788,1
0.33432061,0.01431714,0.32464374,1
0.33447638,0.01447342,0.32402959,1
0.33461526,0.0146128,0.32341541,1
0.33473553,0.01473356,0.32280121,1
0.33483546,0.01483395,0.32218699,1
0.3349133,0.01491226,0.32157275,1
0.33496734,0.01496673,0.32095848,1
0.33499584,0.01499563,0.32034418,1
0.33499712,0.01499728,0.31972985,1
0.33497103,0.01497151,0.3191155,1
0.33491919,0.01491997,0.31850113,1
0.33484335,0.01484439,0.31788674,1
0.33474524,0.0147465,0.31727233,1
0.3346266,0.01462805,0.31665792,1
0.33448915,0.01449076,0.31604349,1
0.33433464,0.01433638,0.31542907,1
0.3341648,0.01416664,0.31481465,1
0.33398136,0.01398328,0.31420024,1
0.33378606,0.01378804,0.31358583,1
0.33358063,0.01358264,0.31297144,1
0.33336682,0.01336884,0.31235707,1
0.33314634,0.01314835,0.31174272,1
0.33292095,0.01292293,0.3111284,1
0.33269237,0.01269431,0.31051411,1
0.33246234,0.01246421,0.30989985,1
0.3322326,0.01223439,0.30928564,1
0.33200487,0.01200658,0.30867147,1
0.33178089,0.0117825,0.30805734,1
0.33156241,0.01156391,0.30744327,1
0.33135115,0.01135253,0.30682925,1
0.33114884,0.01115011,0.30621529,1
0.33095723,0.01095837,0.30560139,1
0.33077805,0.01077906,0.30498756,1
0.33061304,0.01061391,0.30437381,1
0.33046392,0.01046465,0.30376013,1
0.33033243,0.01033304,0.30314653,1
0.33022031,0.01022079,0.30253302,1
0.3301293,0.01012965,0.30191959,1
0.33006112,0.01006135,0.30130625,1
0.33001752,0.01001764,0.30069302,1
0.33000023,0.01000024,0.30007988,1
0.33001059,0.01001051,0.29946685,1
0.33004772,0.01004755,0.2988539,1
0.33010987,0.01010963,0.29824104,1
0.3301953,0.010195,0.29762823,1
0.33030229,0.01030193,0.29701547,1
0.33042909,0.01042868,0.29640275,1
0.33057397,0.01057352,0.29579003,1
0.33073519,0.01073471,0.29517732,1
0.33091102,0.01091051,0.2945646,1
0.33109971,0.01109919,0.29395184,1
0.33129954,0.01129901,0.29333903,1
0.33150877,0.01150823,0.29272617,1
0.33172566,0.01172512,0.29211323,1
0.33194848,0.01194794,0.2915002,1
0.33217548,0.01217496,0.29088706,1
