x,y,z
0.3,0,0.48
0.38,0.08,0.56
0.46,0.16,0.64
0.48,0.24,0.66
0.46,0.32,0.58
0.48,0.4,0.54
0.46,0.48,0.46
0.48,0.56,0.42
0.46,0.58,0.34
0.48,0.56,0.3
0.46,0.58,0.22
0.48,0.56,0.18
0.44,0.58,0.1
0.34,0.54,0.06
x,y,z
0.34,0.54,0.06
0.42,0.56,0.14
0.46,0.58,0.22
0.48,0.56,0.3
0.46,0.52,0.38
0.48,0.48,0.46
0.46,0.4,0.54
0.48,0.36,0.62
0.46,0.28,0.64
0.48,0.24,0.6
0.46,0.16,0.52
0.48,0.12,0.48
0.46,0.1,0.4
0.48,0.12,0.36
0.46,0.1,0.28
0.48,0.12,0.24
0.56,0.1,0.16
0.58,0.06,0.12
0.54,-0.02,0.02
x,y,z
0.54,-0.02,0.02
0.56,0.06,0.1
0.52,0.1,0.18
0.48,0.12,0.26
0.46,0.08,0.34
0.48,0.04,0.42
0.46,-0.04,0.5
0.48,-0.08,0.58
0.46,-0.16,0.66
0.48,-0.2,0.64
0.46,-0.28,0.6
0.48,-0.32,0.52
0.46,-0.4,0.48
0.48,-0.38,0.4
0.46,-0.4,0.36
0.48,-0.38,0.28
0.46,-0.4,0.24
0.48,-0.44,0.16
0.44,-0.52,0.12
0.34,-0.56,0.04
0.34,-0.58,0.06
x,y,z
0.34,-0.58,0.06
0.42,-0.5,0.14
0.46,-0.42,0.22
0.48,-0.4,0.3
0.46,-0.38,0.38
0.48,-0.4,0.46
0.46,-0.32,0.54
0.48,-0.24,0.62
0.46,-0.16,0.64
0.44,-0.08,0.6
0.4,0,0.52
0.32,-0.04,0.48
0.3,0,0.48
