x,y,z,g
0.3,0,0.48,0
0.3005284,0.00075471,0.4806085,0
0.30106323,0.0015094,0.48122115,0
0.30160442,0.00226409,0.48183791,0
0.30215191,0.00301877,0.48245874,0
0.30270565,0.00377344,0.48308359,0
0.30326556,0.0045281,0.48371243,0
0.30383158,0.00528276,0.48434523,0
0.30440367,0.0060374,0.48498193,0
0.30498175,0.00679204,0.4856225,0
0.30556576,0.00754667,0.4862669,0
0.30615565,0.00830129,0.4869151,0
0.30675135,0.0090559,0.48756704,0
0.3073528,0.0098105,0.4882227,0
0.30795994,0.0105651,0.48888204,0
0.30857271,0.01131969,0.489545,0
0.30919104,0.01207427,0.49021156,0
0.30981488,0.01282884,0.49088168,0
0.31044417,0.01358341,0.49155531,0
0.31107884,0.01433797,0.49223241,0
0.31171884,0.01509252,0.49291295,0
0.31236409,0.01584707,0.49359689,0
0.31301455,0.0166016,0.49428419,0
0.31367014,0.01735613,0.4949748,0
0.31433081,0.01811065,0.49566869,0
0.3149965,0.01886517,0.49636582,0
0.31566715,0.01961968,0.49706615,0
0.31634269,0.02037418,0.49776964,0
0.31702307,0.02112868,0.49847625,0
0.31770821,0.02188317,0.49918594,0
0.31839807,0.02263765,0.49989867,0
0.31909258,0.02339213,0.50061441,0
0.31979168,0.0241466,0.5013331,0
0.3204953,0.02490106,0.50205472,0
0.32120339,0.02565552,0.50277922,0
0.32191589,0.02640997,0.50350657,0
0.32263273,0.02716441,0.50423672,0
0.32335386,0.02791885,0.50496964,0
0.3240792,0.02867329,0.50570528,0
0.32480871,0.02942771,0.50644361,0
0.32554232,0.03018214,0.50718458,0
0.32627997,0.03093655,0.50792817,0
0.32702159,0.03169096,0.50867432,0
0.32776713,0.03244537,0.50942299,0
0.32851653,0.03319977,0.51017416,0
0.32926972,0.03395417,0.51092778,0
0.33002664,0.03470856,0.5116838,0
0.33078723,0.03546294,0.5124422,0
0.33155144,0.03621732,0.51320293,0
0.33231919,0.0369717,0.51396595,0
0.33309043,0.03772607,0.51473122,0
0.3338651,0.03848043,0.5154987,0
0.33464314,0.03923479,0.51626836,0
0.33542448,0.03998915,0.51704014,0
0.33620906,0.0407435,0.51781403,0
0.33699683,0.04149785,0.51858997,0
0.33778772,0.04225219,0.51936792,0
0.33858167,0.04300653,0.52014785,0
0.33937861,0.04376086,0.52092971,0
0.3401785,0.04451519,0.52171347,0
0.34098126,0.04526952,0.52249909,0
0.34178684,0.04602384,0.52328653,0
0.34259517,0.04677816,0.52407574,0
0.3434062,0.04753248,0.5248667,0
0.34421985,0.04828679,0.52565935,0
0.34503608,0.0490411,0.52645366,0
0.34585482,0.0497954,0.52724959,0
0.34667601,0.0505497,0.5280471,0
0.34749958,0.051304,0.52884616,0
0.34832549,0.0520583,0.52964672,0
0.34915365,0.05281259,0.53044873,0
0.34998402,0.05356688,0.53125218,0
0.35081654,0.05432116,0.532057,0
0.35165113,0.05507545,0.53286317,0
0.35248775,0.05582973,0.53367064,0
0.35332633,0.056584,0.53447938,0
0.3541668,0.05733828,0.53528935,0
0.35500911,0.05809255,0.5361005,0
0.3558532,0.05884682,0.53691279,0
0.356699,0.05960109,0.5377262,0
0.35754646,0.06035535,0.53854067,0
0.35839551,0.06110961,0.53935617,0
0.35924609,0.06186387,0.54017266,0
0.36009814,0.06261813,0.54099009,0
0.3609516,0.06337239,0.54180844,0
0.36180641,0.06412665,0.54262766,0
0.36266251,0.0648809,0.54344771,0
0.36351983,0.06563515,0.54426855,0
0.36437831,0.0663894,0.54509014,0
0.3652379,0.06714365,0.54591244,0
0.36609854,0.06789789,0.54673542,0
0.36696015,0.06865214,0.54755903,0
0.36782268,0.06940638,0.54838323,0
0.36868607,0.07016063,0.54920799,0
0.36955026,0.07091487,0.55003327,0
0.37041519,0.07166911,0.55085901,0
0.37128079,0.07242335,0.5516852,0
0.37214701,0.07317759,0.55251178,0
0.37301377,0.07393183,0.55333872,0
0.37388104,0.07468606,0.55416598,0
0.37474873,0.0754403,0.55499351,0
0.37561679,0.07619454,0.55582128,0
0.37648516,0.07694877,0.55664926,0
0.37735378,0.07770301,0.55747739,0
0.37822258,0.07845725,0.55830564,0
0.37909151,0.07921148,0.55913397,0
0.3799605,0.07996572,0.55996235,0
0.3808295,0.08071995,0.56079072,0
0.38169843,0.08147419,0.56161906,0
0.38256725,0.08222842,0.56244732,0
0.38343589,0.08298266,0.56327547,0
0.38430428,0.08373689,0.56410345,0
0.38517237,0.08449113,0.56493125,0
0.3860401,0.08524537,0.5657588,0
0.3869074,0.08599961,0.56658609,0
0.38777422,0.08675384,0.56741306,0
0.38864049,0.08750808,0.56823967,0
0.38950615,0.08826232,0.5690659,0
0.39037114,0.08901656,0.56989169,0
0.3912354,0.08977081,0.570717,0
0.39209886,0.09052505,0.57154181,0
0.39296148,0.09127929,0.57236607,0
0.39382318,0.09203354,0.57318973,0
0.3946839,0.09278778,0.57401277,0
0.39554359,0.09354203,0.57483514,0
0.39640217,0.09429628,0.57565679,0
0.3972596,0.09505053,0.5764777,0
0.39811581,0.09580479,0.57729782,0
0.39897074,0.09655904,0.57811712,0
0.39982433,0.0973133,0.57893555,0
0.40067651,0.09806756,0.57975307,0
0.40152723,0.09882182,0.58056965,0
0.40237642,0.09957608,0.58138524,0
0.40322402,0.10033034,0.5821998,0
0.40406998,0.10108461,0.58301331,0
0.40491422,0.10183888,0.58382571,0
0.4057567,0.10259315,0.58463696,0
0.40659734,0.10334743,0.58544703,0
0.40743609,0.1041017,0.58625589,0
0.40827289,0.10485598,0.58706348,0
0.40910767,0.10561027,0.58786977,0
0.40994038,0.10636455,0.58867471,0
0.41077095,0.10711884,0.58947828,0
