x,y,z
0.40000000,0.00000000,0.50000000
0.39999486,0.00002932,0.50006924
0.39998975,0.00005863,0.50013844
0.39998468,0.00008795,0.50020760
0.39997965,0.00011726,0.50027673
0.39997464,0.00014658,0.50034583
0.39996968,0.00017589,0.50041489
0.39996475,0.00020520,0.50048391
0.39995985,0.00023451,0.50055289
0.39995499,0.00026381,0.50062184
0.39995016,0.00029312,0.50069076
0.39994536,0.00032242,0.50075964
0.39994061,0.00035173,0.50082848
0.39993588,0.00038103,0.50089728
0.39993119,0.00041033,0.50096605
0.39992654,0.00043963,0.50103479
0.39992192,0.00046892,0.50110349
0.39991733,0.00049822,0.50117215
0.39991278,0.00052752,0.50124078
0.39990827,0.00055681,0.50130937
0.39990378,0.00058610,0.50137793
0.39989934,0.00061539,0.50144645
0.39989493,0.00064468,0.50151493
0.39989055,0.00067397,0.50158338
0.39988620,0.00070326,0.50165179
0.39988190,0.00073254,0.50172017
0.39987762,0.00076182,0.50178851
0.39987338,0.00079111,0.50185681
0.39986918,0.00082039,0.50192508
0.39986501,0.00084967,0.50199331
0.39986087,0.00087895,0.50206151
0.39985677,0.00090822,0.50212967
0.39985270,0.00093750,0.50219780
0.39984867,0.00096677,0.50226589
0.39984467,0.00099604,0.50233394
0.39984070,0.00102532,0.50240196
0.39983677,0.00105459,0.50246995
0.39983288,0.00108385,0.50253789
0.39982902,0.00111312,0.50260581
0.39982519,0.00114239,0.50267368
0.39982140,0.00117165,0.50274152
0.39981764,0.00120092,0.50280933
0.39981392,0.00123018,0.50287710
0.39981023,0.00125944,0.50294483
0.39980657,0.00128870,0.50301253
0.39980295,0.00131795,0.50308019
0.39979937,0.00134721,0.50314782
0.39979581,0.00137647,0.50321541
0.39979230,0.00140572,0.50328296
0.39978881,0.00143497,0.50335048
0.39978536,0.00146422,0.50341797
0.39978195,0.00149347,0.50348542
0.39977857,0.00152272,0.50355283
0.39977522,0.00155197,0.50362021
0.39977191,0.00158121,0.50368755
0.39976863,0.00161046,0.50375485
0.39976538,0.00163970,0.50382213
0.39976217,0.00166894,0.50388936
0.39975900,0.00169818,0.50395656
0.39975585,0.00172742,0.50402372
0.39975275,0.00175666,0.50409085
0.39974967,0.00178589,0.50415795
0.39974663,0.00181513,0.50422500
0.39974363,0.00184436,0.50429203
0.39974066,0.00187359,0.50435901
0.39973772,0.00190283,0.50442596
0.39973481,0.00193205,0.50449288
0.39973194,0.00196128,0.50455976
0.39972911,0.00199051,0.50462660
0.39972631,0.00201973,0.50469341
0.39972354,0.00204896,0.50476019
0.39972081,0.00207818,0.50482692
0.39971811,0.00210740,0.50489363
0.39971544,0.00213662,0.50496029
0.39971281,0.00216584,0.50502693
0.39971021,0.00219506,0.50509352
0.39970765,0.00222427,0.50516008
0.39970512,0.00225349,0.50522661
0.39970262,0.00228270,0.50529310
0.39970016,0.00231191,0.50535955
0.39969773,0.00234112,0.50542597
0.39969533,0.00237033,0.50549236
0.39969297,0.00239954,0.50555871
0.39969065,0.00242875,0.50562502
0.39968835,0.00245795,0.50569130
0.39968609,0.00248715,0.50575754
0.39968387,0.00251636,0.50582375
0.39968168,0.00254556,0.50588992
0.39967952,0.00257476,0.50595606
0.39967739,0.00260396,0.50602216
0.39967530,0.00263315,0.50608822
0.39967325,0.00266235,0.50615426
0.39967122,0.00269154,0.50622025
0.39966923,0.00272074,0.50628621
0.39966728,0.00274993,0.50635214
0.39966536,0.00277912,0.50641803
0.39966347,0.00280831,0.50648388
0.39966161,0.00283749,0.50654970
0.39965979,0.00286668,0.50661548
0.39965800,0.00289587,0.50668123
0.39965625,0.00292505,0.50674695
0.39965453,0.00295423,0.50681262
0.39965284,0.00298341,0.50687827
0.39965119,0.00301259,0.50694387
0.39964957,0.00304177,0.50700945
0.39964798,0.00307095,0.50707498
0.39964643,0.00310012,0.50714049
0.39964491,0.00312930,0.50720595
0.39964343,0.00315847,0.50727139
0.39964197,0.00318764,0.50733678
0.39964056,0.00321681,0.50740214
0.39963917,0.00324598,0.50746747
0.39963782,0.00327515,0.50753276
0.39963650,0.00330431,0.50759802
0.39963522,0.00333348,0.50766324
0.39963397,0.00336264,0.50772842
0.39963275,0.00339181,0.50779358
0.39963156,0.00342097,0.50785869
0.39963041,0.00345013,0.50792377
0.39962929,0.00347928,0.50798882
0.39962821,0.00350844,0.50805383
0.39962716,0.00353760,0.50811880
0.39962614,0.00356675,0.50818374
0.39962516,0.00359590,0.50824865
0.39962421,0.00362506,0.50831352
0.39962329,0.00365421,0.50837835
0.39962240,0.00368336,0.50844315
0.39962155,0.00371250,0.50850792
0.39962074,0.00374165,0.50857265
0.39961995,0.00377079,0.50863734
0.39961920,0.00379994,0.50870200
0.39961848,0.00382908,0.50876663
0.39961780,0.00385822,0.50883122
0.39961715,0.00388736,0.50889577
0.39961653,0.00391650,0.50896029
0.39961594,0.00394564,0.50902478
0.39961539,0.00397477,0.50908923
0.39961487,0.00400391,0.50915364
0.39961439,0.00403304,0.50921802
0.39961393,0.00406217,0.50928237
0.39961351,0.00409130,0.50934668
0.39961313,0.00412043,0.50941096
0.39961277,0.00414956,0.50947520
0.39961245,0.00417869,0.50953940
0.39961217,0.00420781,0.50960357
0.39961191,0.00423694,0.50966771
0.39961169,0.00426606,0.50973181
0.39961150,0.00429518,0.50979587
0.39961135,0.00432430,0.50985991
0.39961123,0.00435342,0.50992390
0.39961114,0.00438254,0.50998786
0.39961108,0.00441165,0.51005179
0.39961106,0.00444077,0.51011568
0.39961107,0.00446988,0.51017954
0.39961111,0.00449899,0.51024336
0.39961119,0.00452810,0.51030715
0.39961130,0.00455721,0.51037090
0.39961144,0.00458632,0.51043462
0.39961161,0.00461543,0.51049830
0.39961182,0.00464453,0.51056195
0.39961206,0.00467364,0.51062556
0.39961234,0.00470274,0.51068914
0.39961264,0.00473184,0.51075268
0.39961298,0.00476094,0.51081619
0.39961335,0.00479004,0.51087967
0.39961376,0.00481914,0.51094311
0.39961420,0.00484824,0.51100651
0.39961467,0.00487733,0.51106988
0.39961517,0.00490643,0.51113322
0.39961570,0.00493552,0.51119652
