x,y,z
0.39963897,0.00446382,0.51009132
0.39963911,0.00448893,0.51014604
0.39963928,0.00451405,0.51020073
0.39963947,0.00453916,0.51025539
0.39963969,0.00456428,0.51031003
0.39963993,0.00458939,0.51036464
0.39964019,0.00461450,0.51041922
0.39964048,0.00463961,0.51047378
0.39964079,0.00466472,0.51052832
0.39964112,0.00468983,0.51058283
0.39964148,0.00471494,0.51063731
0.39964187,0.00474004,0.51069177
0.39964227,0.00476515,0.51074620
0.39964271,0.00479025,0.51080061
0.39964316,0.00481535,0.51085499
0.39964364,0.00484046,0.51090935
0.39964414,0.00486556,0.51096368
0.39964467,0.00489065,0.51101798
0.39964522,0.00491575,0.51107226
0.39964580,0.00494085,0.51112652
0.39964640,0.00496595,0.51118074
0.39964702,0.00499104,0.51123495
0.39964767,0.00501613,0.51128912
0.39964834,0.00504123,0.51134328
0.39964903,0.00506632,0.51139740
0.39964975,0.00509141,0.51145151
0.39965049,0.00511650,0.51150558
0.39965126,0.00514159,0.51155963
0.39965205,0.00516667,0.51161366
0.39965286,0.00519176,0.51166766
0.39965370,0.00521684,0.51172163
0.39965456,0.00524193,0.51177558
0.39965545,0.00526701,0.51182950
0.39965636,0.00529209,0.51188340
0.39965729,0.00531717,0.51193727
0.39965825,0.00534225,0.51199112
0.39965923,0.00536733,0.51204494
0.39966023,0.00539240,0.51209874
0.39966126,0.00541748,0.51215251
0.39966231,0.00544255,0.51220625
0.39966339,0.00546763,0.51225998
0.39966449,0.00549270,0.51231367
0.39966561,0.00551777,0.51236734
0.39966676,0.00554284,0.51242098
0.39966793,0.00556791,0.51247460
0.39966913,0.00559298,0.51252820
0.39967035,0.00561805,0.51258176
0.39967159,0.00564311,0.51263531
0.39967285,0.00566818,0.51268882
0.39967414,0.00569324,0.51274232
0.39967546,0.00571830,0.51279578
0.39967679,0.00574336,0.51284922
0.39967816,0.00576842,0.51290264
0.39967954,0.00579348,0.51295603
0.39968095,0.00581854,0.51300939
0.39968238,0.00584360,0.51306273
0.39968384,0.00586865,0.51311605
0.39968531,0.00589371,0.51316934
0.39968682,0.00591876,0.51322260
0.39968834,0.00594382,0.51327584
0.39968989,0.00596887,0.51332906
0.39969147,0.00599392,0.51338224
0.39969306,0.00601897,0.51343541
0.39969469,0.00604401,0.51348854
0.39969633,0.00606906,0.51354166
0.39969800,0.00609411,0.51359474
0.39969969,0.00611915,0.51364781
0.39970141,0.00614420,0.51370084
0.39970314,0.00616924,0.51375385
0.39970491,0.00619428,0.51380684
0.39970669,0.00621932,0.51385980
0.39970850,0.00624436,0.51391274
0.39971033,0.00626940,0.51396565
0.39971219,0.00629443,0.51401853
0.39971407,0.00631947,0.51407139
0.39971597,0.00634450,0.51412423
0.39971790,0.00636954,0.51417704
0.39971985,0.00639457,0.51422982
0.39972183,0.00641960,0.51428258
0.39972382,0.00644463,0.51433531
0.39972585,0.00646966,0.51438802
0.39972789,0.00649469,0.51444071
0.39972996,0.00651972,0.51449336
0.39973205,0.00654474,0.51454600
0.39973416,0.00656977,0.51459861
0.39973630,0.00659479,0.51465119
0.39973846,0.00661982,0.51470375
0.39974065,0.00664484,0.51475628
0.39974286,0.00666986,0.51480879
0.39974509,0.00669488,0.51486127
0.39974734,0.00671990,0.51491373
0.39974962,0.00674491,0.51496616
0.39975193,0.00676993,0.51501856
0.39975425,0.00679494,0.51507095
0.39975660,0.00681996,0.51512330
0.39975897,0.00684497,0.51517563
0.39976137,0.00686998,0.51522794
0.39976379,0.00689499,0.51528022
0.39976623,0.00692000,0.51533248
0.39976869,0.00694501,0.51538471
0.39977118,0.00697002,0.51543691
0.39977370,0.00699503,0.51548909
0.39977623,0.00702003,0.51554125
0.39977879,0.00704504,0.51559338
0.39978137,0.00707004,0.51564549
0.39978398,0.00709504,0.51569757
0.39978661,0.00712004,0.51574962
0.39978926,0.00714504,0.51580165
0.39979193,0.00717004,0.51585366
0.39979463,0.00719504,0.51590564
0.39979735,0.00722003,0.51595759
0.39980010,0.00724503,0.51600952
0.39980287,0.00727002,0.51606143
0.39980566,0.00729502,0.51611331
0.39980847,0.00732001,0.51616516
0.39981131,0.00734500,0.51621699
0.39981417,0.00736999,0.51626880
0.39981705,0.00739498,0.51632058
0.39981996,0.00741997,0.51637233
0.39982289,0.00744495,0.51642406
0.39982585,0.00746994,0.51647577
0.39982882,0.00749492,0.51652745
0.39983182,0.00751991,0.51657910
0.39983485,0.00754489,0.51663073
0.39983789,0.00756987,0.51668234
0.39984096,0.00759485,0.51673392
0.39984406,0.00761983,0.51678547
0.39984717,0.00764481,0.51683700
0.39985031,0.00766979,0.51688850
0.39985347,0.00769476,0.51693998
0.39985666,0.00771974,0.51699144
0.39985986,0.00774471,0.51704287
0.39986310,0.00776968,0.51709427
0.39986635,0.00779466,0.51714565
0.39986963,0.00781963,0.51719701
0.39987293,0.00784460,0.51724834
0.39987625,0.00786956,0.51729965
0.39987960,0.00789453,0.51735093
0.39988297,0.00791950,0.51740218
0.39988636,0.00794446,0.51745341
0.39988978,0.00796943,0.51750462
0.39989321,0.00799439,0.51755580
0.39989668,0.00801935,0.51760695
0.39990016,0.00804431,0.51765809
0.39990367,0.00806927,0.51770919
0.39990720,0.00809423,0.51776027
0.39991075,0.00811919,0.51781133
0.39991433,0.00814415,0.51786236
0.39991793,0.00816910,0.51791337
0.39992155,0.00819406,0.51796435
0.39992519,0.00821901,0.51801530
0.39992886,0.00824396,0.51806624
0.39993255,0.00826891,0.51811714
0.39993627,0.00829386,0.51816803
0.39994000,0.00831881,0.51821888
0.39994376,0.00834376,0.51826972
0.39994755,0.00836871,0.51832052
0.39995135,0.00839365,0.51837131
0.39995518,0.00841860,0.51842206
0.39995903,0.00844354,0.51847280
0.39996291,0.00846848,0.51852351
0.39996680,0.00849343,0.51857419
0.39997072,0.00851837,0.51862485
0.39997467,0.00854331,0.51867548
0.39997863,0.00856824,0.51872609
0.39998262,0.00859318,0.51877668
0.39998663,0.00861812,0.51882723
0.39999067,0.00864305,0.51887777
0.39999472,0.00866799,0.51892828
0.39999880,0.00869292,0.51897876
0.40000291,0.00871785,0.51902922
0.40000703,0.00874278,0.51907966
0.40001118,0.00876771,0.51913007
0.40001535,0.00879264,0.51918046
0.40001954,0.00881757,0.51923082
0.40002376,0.00884250,0.51928116
0.40002800,0.00886742,0.51933147
0.40003226,0.00889235,0.51938175
0.40003654,0.00891727,0.51943202
0.40004085,0.00894219,0.51948225
0.40004518,0.00896711,0.51953247
0.40004953,0.00899203,0.51958266
0.40005391,0.00901695,0.51963282
0.40005831,0.00904187,0.51968296
0.40006273,0.00906679,0.51973307
0.40006717,0.00909170,0.51978316
0.40007164,0.00911662,0.51983323
0.40007613,0.00914153,0.51988327
0.40008064,0.00916645,0.51993328
0.40008517,0.00919136,0.51998327
0.40008973,0.00921627,0.52003324
0.40009431,0.00924118,0.52008318
0.40009891,0.00926609,0.52013310
0.40010353,0.00929099,0.52018299
0.40010818,0.00931590,0.52023285
0.40011285,0.00934081,0.52028270
0.40011754,0.00936571,0.52033251
0.40012226,0.00939061,0.52038231
0.40012700,0.00941552,0.52043208
0.40013176,0.00944042,0.52048182
0.40013654,0.00946532,0.52053154
0.40014134,0.00949022,0.52058123
0.40014617,0.00951512,0.52063090
0.40015102,0.00954001,0.52068055
0.40015589,0.00956491,0.52073017
0.40016079,0.00958980,0.52077977
0.40016571,0.00961470,0.52082934
0.40017065,0.00963959,0.52087889
0.40017561,0.00966448,0.52092841
0.40018060,0.00968937,0.52097791
0.40018560,0.00971426,0.52102738
0.40019063,0.00973915,0.52107683
0.40019569,0.00976404,0.52112625
0.40020076,0.00978892,0.52117565
0.40020586,0.00981381,0.52122503
0.40021098,0.00983869,0.52127438
0.40021612,0.00986358,0.52132370
0.40022129,0.00988846,0.52137300
0.40022647,0.00991334,0.52142228
0.40023168,0.00993822,0.52147153
0.40023692,0.00996310,0.52152076
0.40024217,0.00998798,0.52156996
0.40024745,0.01001286,0.52161914
0.40025275,0.01003773,0.52166830
0.40025807,0.01006261,0.52171743
0.40026341,0.01008748,0.52176653
0.40026878,0.01011235,0.52181561
0.40027417,0.01013723,0.52186467
0.40027958,0.01016210,0.52191370
0.40028501,0.01018697,0.52196271
0.40029047,0.01021183,0.52201169
0.40029595,0.01023670,0.52206065
0.40030145,0.01026157,0.52210958
0.40030697,0.01028643,0.52215849
0.40031251,0.01031130,0.52220737
0.40031808,0.01033616,0.52225623
0.40032367,0.01036102,0.52230507
0.40032928,0.01038589,0.52235388
0.40033492,0.01041075,0.52240267
0.40034057,0.01043561,0.52245143
0.40034625,0.01046046,0.52250017
0.40035195,0.01048532,0.52254888
0.40035768,0.01051018,0.52259757
0.40036342,0.01053503,0.52264624
0.40036919,0.01055989,0.52269488
0.40037498,0.01058474,0.52274349
0.40038079,0.01060959,0.52279208
0.40038663,0.01063444,0.52284065
0.40039248,0.01065929,0.52288919
0.40039836,0.01068414,0.52293771
0.40040426,0.01070899,0.52298620
0.40041018,0.01073384,0.52303467
0.40041613,0.01075868,0.52308312
0.40042210,0.01078353,0.52313154
0.40042809,0.01080837,0.52317993
0.40043410,0.01083321,0.52322831
0.40044013,0.01085805,0.52327665
0.40044619,0.01088290,0.52332498
0.40045227,0.01090774,0.52337328
0.40045837,0.01093257,0.52342155
0.40046449,0.01095741,0.52346980
0.40047063,0.01098225,0.52351803
0.40047680,0.01100708,0.52356623
0.40048299,0.01103192,0.52361440
0.40048920,0.01105675,0.52366256
0.40049543,0.01108158,0.52371068
0.40050168,0.01110641,0.52375879
